k1,k5,k6
0.014030295572966197,0.0332862628199728,0.5000000000305105
0.01590675547244776,0.0679075848991661,1.045502396024782
0.015585566118996428,0.08392425523603438,3.7704023924697827
0.015133261541988291,0.11361772384886813,1.037575804639186
0.01612030865581474,0.29151201749329086,1.342182654856842
0.01567725204371777,0.25502415440923365,1.283616105740687
0.015544137411324523,0.03934778804131222,1.3253141345560828
0.016155815285427574,0.053222970132329135,1.6648918469431053
0.015988443776686862,0.07369839254631926,1.8293591033317762
0.01538683160876489,0.18899383911393056,1.3973932892184842
0.017416361504542906,0.21783539872551483,0.78286988489253
0.03449996176581899,0.1655288131515156,2.8112299331868336
0.016253916308314926,0.11278764033328659,2.9242662544695097
0.017243122947405393,0.0978310710608229,1.759396545657851
0.01637782948650193,0.10118916217108488,1.7083416531543214
0.01569618314391159,0.07465662684532404,2.729308892266033
0.014891018474997578,0.09916601527260685,1.150403092849398
0.014702846851205594,0.06338207887788873,1.0668179438871859
0.016522011353998438,0.10982260342015766,3.4897146476399423
0.016194074140334833,0.0585916119726118,1.8852744216232546
0.015455146915276214,0.0798620988915764,2.375438249634222
0.018837938712741264,0.07352042943220818,2.6245885760325534
0.014009822818434665,0.1198958654472316,0.5000000000014589
0.01559037224338288,0.11279326401967293,3.5227739787866703
0.016622891263110957,0.12877791472356295,1.791986353767307
